Date,Incident Reports,Season,EST,Max TemperatureF,Min TemperatureF
1/1/2010,9,Winter,1/1/2010,40,33
1/2/2010,12,Winter,1/2/2010,34,17
1/3/2010,3,Winter,1/3/2010,22,17
1/4/2010,24,Winter,1/4/2010,30,19
1/5/2010,14,Winter,1/5/2010,30,20
1/6/2010,21,Winter,1/6/2010,34,26
1/7/2010,15,Winter,1/7/2010,37,30
1/8/2010,13,Winter,1/8/2010,33,23
1/9/2010,10,Winter,1/9/2010,30,18
1/10/2010,7,Winter,1/10/2010,28,14
1/11/2010,25,Winter,1/11/2010,31,21
1/12/2010,16,Winter,1/12/2010,35,24
1/13/2010,24,Winter,1/13/2010,35,24
1/14/2010,15,Winter,1/14/2010,42,30
1/15/2010,19,Winter,1/15/2010,50,35
1/16/2010,13,Winter,1/16/2010,49,38
1/17/2010,9,Winter,1/17/2010,46,35
1/18/2010,15,Winter,1/18/2010,50,37
1/19/2010,35,Winter,1/19/2010,48,40
1/20/2010,12,Winter,1/20/2010,41,34
1/21/2010,32,Winter,1/21/2010,41,31
1/22/2010,20,Winter,1/22/2010,44,32
1/23/2010,9,Winter,1/23/2010,40,28
1/24/2010,12,Winter,1/24/2010,50,32
1/25/2010,22,Winter,1/25/2010,57,49
1/26/2010,40,Winter,1/26/2010,49,35
1/27/2010,22,Winter,1/27/2010,39,31
1/28/2010,20,Winter,1/28/2010,42,20
1/29/2010,17,Winter,1/29/2010,23,16
1/30/2010,15,Winter,1/30/2010,20,13
1/31/2010,8,Winter,1/31/2010,30,14
2/1/2010,20,Winter,2/1/2010,35,25
2/2/2010,18,Winter,2/2/2010,33,27
2/3/2010,15,Winter,2/3/2010,39,29
2/4/2010,13,Winter,2/4/2010,37,28
2/5/2010,27,Winter,2/5/2010,36,29
2/6/2010,9,Winter,2/6/2010,33,20
2/7/2010,11,Winter,2/7/2010,34,17
2/8/2010,18,Winter,2/8/2010,37,23
2/9/2010,22,Winter,2/9/2010,42,28
2/10/2010,13,Winter,2/10/2010,34,30
2/11/2010,15,Winter,2/11/2010,37,28
2/12/2010,15,Winter,2/12/2010,37,26
2/13/2010,8,Winter,2/13/2010,32,24
2/14/2010,9,Winter,2/14/2010,39,28
2/15/2010,10,Winter,2/15/2010,40,27
2/16/2010,17,Winter,2/16/2010,33,29
2/17/2010,18,Winter,2/17/2010,35,26
2/18/2010,19,Winter,2/18/2010,40,32
2/19/2010,16,Winter,2/19/2010,43,35
2/20/2010,9,Winter,2/20/2010,44,35
2/21/2010,10,Winter,2/21/2010,46,33
2/22/2010,24,Winter,2/22/2010,45,29
2/23/2010,13,Winter,2/23/2010,38,35
2/24/2010,25,Winter,2/24/2010,42,36
2/25/2010,23,Winter,2/25/2010,38,27
2/26/2010,11,Winter,2/26/2010,33,26
2/27/2010,7,Winter,2/27/2010,38,29
2/28/2010,10,Winter,2/28/2010,40,33
3/1/2010,26,Winter,3/1/2010,48,36
3/2/2010,17,Winter,3/2/2010,47,36
3/3/2010,21,Winter,3/3/2010,41,34
3/4/2010,25,Winter,3/4/2010,47,35
3/5/2010,28,Winter,3/5/2010,49,34
3/6/2010,10,Winter,3/6/2010,54,32
3/7/2010,13,Winter,3/7/2010,57,37
3/8/2010,31,Winter,3/8/2010,61,41
3/9/2010,20,Winter,3/9/2010,61,44
3/10/2010,29,Winter,3/10/2010,57,44
3/11/2010,37,Winter,3/11/2010,53,42
3/12/2010,18,Winter,3/12/2010,43,39
3/13/2010,13,Winter,3/13/2010,46,38
3/14/2010,14,Winter,3/14/2010,50,43
3/15/2010,36,Winter,3/15/2010,46,41
3/16/2010,23,Winter,3/16/2010,63,41
3/17/2010,36,Winter,3/17/2010,66,43
3/18/2010,31,Winter,3/18/2010,69,50
3/19/2010,38,Winter,3/19/2010,72,49
3/20/2010,26,Spring,3/20/2010,74,54
3/21/2010,19,Spring,3/21/2010,64,51
3/22/2010,40,Spring,3/22/2010,57,50
3/23/2010,48,Spring,3/23/2010,53,45
3/24/2010,49,Spring,3/24/2010,60,43
3/25/2010,34,Spring,3/25/2010,62,48
3/26/2010,33,Spring,3/26/2010,52,34
3/27/2010,15,Spring,3/27/2010,44,29
3/28/2010,17,Spring,3/28/2010,49,36
3/29/2010,25,Spring,3/29/2010,53,48
3/30/2010,31,Spring,3/30/2010,50,41
3/31/2010,28,Spring,3/31/2010,57,45
4/1/2010,34,Spring,4/1/2010,70,48
4/2/2010,26,Spring,4/2/2010,68,48
4/3/2010,14,Spring,4/3/2010,67,47
4/4/2010,18,Spring,4/4/2010,76,47
4/5/2010,44,Spring,4/5/2010,75,56
4/6/2010,32,Spring,4/6/2010,78,58
4/7/2010,36,Spring,4/7/2010,92,56
4/8/2010,39,Spring,4/8/2010,80,64
4/9/2010,31,Spring,4/9/2010,68,44
4/10/2010,15,Spring,4/10/2010,62,42
4/11/2010,19,Spring,4/11/2010,76,52
4/12/2010,48,Spring,4/12/2010,67,52
4/13/2010,41,Spring,4/13/2010,56,47
4/14/2010,45,Spring,4/14/2010,67,45
4/15/2010,28,Spring,4/15/2010,73,50
4/16/2010,23,Spring,4/16/2010,57,46
4/17/2010,22,Spring,4/17/2010,54,46
4/18/2010,12,Spring,4/18/2010,57,42
4/19/2010,47,Spring,4/19/2010,63,46
4/20/2010,36,Spring,4/20/2010,70,47
4/21/2010,54,Spring,4/21/2010,69,53
4/22/2010,29,Spring,4/22/2010,72,51
4/23/2010,36,Spring,4/23/2010,68,44
4/24/2010,18,Spring,4/24/2010,68,46
4/25/2010,11,Spring,4/25/2010,52,46
4/26/2010,36,Spring,4/26/2010,53,48
4/27/2010,35,Spring,4/27/2010,58,41
4/28/2010,30,Spring,4/28/2010,56,40
4/29/2010,27,Spring,4/29/2010,69,45
4/30/2010,26,Spring,4/30/2010,78,56
5/1/2010,15,Spring,5/1/2010,85,64
5/2/2010,18,Spring,5/2/2010,88,66
5/3/2010,50,Spring,5/3/2010,80,67
