Date,Max TemperatureF,Min TemperatureF,Incident Reports,dateId
"July 01, 2011",78,66,3,1642
"July 02, 2011",75,66,0,1643
"July 03, 2011",82,66,1,1644
"July 04, 2011",89,69,0,1645
"July 05, 2011",87,68,5,1646
"July 06, 2011",91,71,12,1647
"July 07, 2011",87,69,2,1648
"July 08, 2011",75,68,4,1649
"July 09, 2011",86,66,1,1650
"July 10, 2011",86,66,0,1651
"July 11, 2011",93,68,5,1652
"July 12, 2011",95,77,1,1653
"July 13, 2011",87,66,10,1654
"July 14, 2011",73,62,4,1655
"July 15, 2011",78,64,8,1656
"July 16, 2011",84,64,1,1657
"July 17, 2011",93,71,1,1658
"July 18, 2011",86,75,9,1659
"July 19, 2011",89,69,12,1660
"July 20, 2011",91,69,4,1661
"July 21, 2011",96,73,10,1662
"July 22, 2011",102,80,2,1663
"July 23, 2011",91,71,1,1664
"July 24, 2011",84,66,0,1665
"July 25, 2011",73,62,9,1666
"July 26, 2011",78,64,3,1667
"July 27, 2011",84,68,3,1668
"July 28, 2011",75,68,6,1669
"July 29, 2011",78,66,5,1670
"July 30, 2011",89,73,1,1671
"July 31, 2011",91,69,0,1672
"August 01, 2011",93,71,8,1673
"August 02, 2011",91,66,9,1674
"August 03, 2011",73,64,8,1675
"August 04, 2011",75,66,7,1676
"August 05, 2011",75,66,3,1677
"August 06, 2011",87,69,0,1678
"August 07, 2011",77,71,2,1679
"August 08, 2011",80,69,6,1680
"August 09, 2011",75,66,6,1681
"August 10, 2011",78,66,7,1682
"August 11, 2011",82,64,5,1683
"August 12, 2011",82,64,4,1684
"August 13, 2011",82,66,1,1685
"August 14, 2011",77,68,0,1686
"August 15, 2011",69,62,15,1687
"August 16, 2011",73,62,6,1688
"August 17, 2011",84,64,3,1689
"August 18, 2011",87,68,12,1690
"August 19, 2011",87,71,6,1691
"August 20, 2011",84,71,0,1692
"August 21, 2011",86,69,4,1693
"August 22, 2011",80,68,6,1694
"August 23, 2011",78,62,7,1695
"August 24, 2011",80,64,5,1696
"August 25, 2011",87,68,4,1697
"August 26, 2011",84,69,3,1698
"August 27, 2011",78,69,1,1699
"August 28, 2011",75,66,0,1700
"August 29, 2011",80,62,4,1701
"August 30, 2011",77,62,7,1702
"August 31, 2011",80,62,7,1703
"September 01, 2011",71,62,9,1704
"September 02, 2011",68,60,6,1705
"September 03, 2011",86,60,1,1706
"September 04, 2011",84,68,1,1707
"September 05, 2011",87,69,0,1708
"September 06, 2011",73,60,8,1709
"September 07, 2011",62,60,7,1710
"September 08, 2011",64,57,1,1711
"September 09, 2011",80,57,4,1712
"September 10, 2011",71,59,0,1713
"September 11, 2011",69,55,1,1714
"September 12, 2011",82,62,8,1715
"September 13, 2011",84,64,6,1716
"September 14, 2011",86,68,9,1717
"September 15, 2011",82,55,8,1718
"September 16, 2011",64,50,7,1719
"September 17, 2011",62,48,3,1720
"September 18, 2011",66,51,2,1721
"September 19, 2011",64,51,12,1722
"September 20, 2011",66,55,8,1723
"September 21, 2011",75,59,6,1724
"September 22, 2011",73,64,7,1725
"September 23, 2011",73,64,7,1726
"September 24, 2011",80,64,0,1727
"September 25, 2011",78,68,1,1728
"September 26, 2011",75,66,8,1729
"September 27, 2011",73,64,8,1730
"September 28, 2011",69,62,7,1731
"September 29, 2011",71,62,6,1732
"September 30, 2011",77,57,7,1733
"October 01, 2011",71,57,0,1734
"October 02, 2011",64,57,1,1735
"October 03, 2011",68,55,10,1736
"October 04, 2011",68,55,12,1737
"October 05, 2011",69,51,10,1738
"October 06, 2011",66,48,2,1739
"October 07, 2011",62,46,1,1740
"October 08, 2011",82,55,1,1741
"October 09, 2011",87,64,1,1742
"October 10, 2011",84,64,1,1743
"October 11, 2011",66,57,5,1744
"October 12, 2011",62,57,8,1745
"October 13, 2011",62,59,6,1746
"October 14, 2011",66,59,10,1747
"October 15, 2011",68,55,0,1748
"October 16, 2011",66,53,0,1749
"October 17, 2011",66,55,6,1750
"October 18, 2011",68,55,5,1751
"October 19, 2011",59,53,7,1752
"October 20, 2011",69,53,1,1753
"October 21, 2011",64,53,2,1754
"October 22, 2011",62,50,0,1755
"October 23, 2011",57,46,1,1756
"October 24, 2011",62,42,3,1757
"October 25, 2011",62,50,10,1758
"October 26, 2011",50,48,3,1759
"October 27, 2011",48,33,4,1760
"October 28, 2011",48,35,2,1761
"October 29, 2011",48,33,0,1762
"October 30, 2011",48,33,1,1763
"October 31, 2011",51,37,6,1764
"November 01, 2011",53,39,6,1765
"November 02, 2011",53,39,5,1766
"November 03, 2011",62,42,1,1767
"November 04, 2011",53,37,3,1768
"November 05, 2011",48,35,1,1769
"November 06, 2011",59,35,0,1770
"November 07, 2011",64,42,17,1771
"November 08, 2011",69,51,3,1772
"November 09, 2011",66,46,5,1773
"November 10, 2011",60,51,11,1774
"November 11, 2011",57,41,0,1775
"November 12, 2011",53,37,0,1776
"November 13, 2011",62,42,0,1777
"November 14, 2011",68,53,3,1778
"November 15, 2011",66,55,5,1779
"November 16, 2011",59,51,4,1780
"November 17, 2011",55,39,4,1781
"November 18, 2011",44,35,2,1782
"November 19, 2011",53,35,0,1783
"November 20, 2011",66,48,0,1784
"November 21, 2011",59,35,3,1785
"November 22, 2011",46,33,3,1786
"November 23, 2011",48,33,1,1787
"November 24, 2011",46,31,0,1788
"November 25, 2011",60,35,1,1789
"November 26, 2011",62,44,0,1790
"November 27, 2011",55,37,0,1791
"November 28, 2011",66,53,2,1792
"November 29, 2011",66,51,2,1793
"November 30, 2011",64,44,2,1794
"December 01, 2011",48,37,4,1795
"December 02, 2011",50,35,4,1796
"December 03, 2011",44,33,0,1797
"December 04, 2011",53,35,2,1798
"December 05, 2011",62,44,5,1799
"December 06, 2011",60,48,2,1800
"December 07, 2011",59,44,3,1801
"December 08, 2011",46,37,6,1802
"December 09, 2011",51,35,2,1803
"December 10, 2011",46,31,1,1804
"December 11, 2011",37,29,1,1805
"December 12, 2011",48,31,2,1806
"December 13, 2011",46,29,3,1807
"December 14, 2011",42,37,2,1808
"December 15, 2011",53,37,6,1809
"December 16, 2011",53,41,0,1810
"December 17, 2011",41,29,1,1811
"December 18, 2011",29,20,0,1812
"December 19, 2011",44,18,9,1813
"December 20, 2011",44,32,1,1814
"December 21, 2011",57,32,4,1815
"December 22, 2011",57,44,0,1816
"December 23, 2011",46,31,2,1817
"December 24, 2011",31,22,0,1818
"December 25, 2011",42,20,0,1819
"December 26, 2011",42,31,0,1820
"December 27, 2011",55,29,3,1821
"December 28, 2011",57,29,4,1822
"December 29, 2011",33,23,1,1823
"December 30, 2011",44,27,4,1824
"December 31, 2011",39,33,0,1825
"January 01, 2012",51,39,0,1826
"January 02, 2012",50,33,1,1827
"January 03, 2012",35,14,4,1828
"January 04, 2012",29,11,2,1829
"January 05, 2012",39,25,3,1830
"January 06, 2012",48,29,5,1831
"January 07, 2012",60,31,0,1832
"January 08, 2012",44,31,1,1833
"January 09, 2012",39,25,2,1834
"January 10, 2012",46,31,7,1835
"January 11, 2012",37,31,3,1836
"January 12, 2012",42,33,6,1837
"January 13, 2012",53,31,4,1838
"January 14, 2012",33,20,0,1839
"January 15, 2012",20,7,0,1840
"January 16, 2012",33,11,0,1841
"January 17, 2012",48,33,0,1842
"January 18, 2012",51,22,2,1843
"January 19, 2012",33,18,0,1844
"January 20, 2012",32,22,6,1845
"January 21, 2012",23,16,1,1846
"January 22, 2012",31,16,0,1847
"January 23, 2012",46,29,3,1848
"January 24, 2012",55,42,1,1849
"January 25, 2012",42,35,1,1850
"January 26, 2012",41,31,1,1851
"January 27, 2012",46,37,4,1852
"January 28, 2012",46,37,0,1853
"January 29, 2012",42,33,1,1854
"January 30, 2012",39,31,7,1855
"January 31, 2012",46,31,3,1856
"February 01, 2012",59,35,3,1857
"February 02, 2012",44,31,3,1858
"February 03, 2012",39,25,3,1859
"February 04, 2012",42,29,0,1860
"February 05, 2012",35,22,0,1861
"February 06, 2012",50,29,3,1862
"February 07, 2012",46,31,2,1863
"February 08, 2012",37,22,3,1864
"February 09, 2012",46,31,2,1865
"February 10, 2012",50,31,7,1866
"February 11, 2012",39,31,0,1867
"February 12, 2012",31,16,1,1868
"February 13, 2012",41,18,3,1869
"February 14, 2012",44,29,1,1870
"February 15, 2012",42,33,4,1871
"February 16, 2012",44,35,7,1872
"February 17, 2012",53,37,2,1873
"February 18, 2012",46,33,1,1874
"February 19, 2012",46,31,0,1875
"February 20, 2012",41,29,1,1876
"February 21, 2012",44,29,10,1877
"February 22, 2012",57,35,8,1878
"February 23, 2012",55,41,8,1879
"February 24, 2012",42,35,3,1880
"February 25, 2012",44,33,1,1881
"February 26, 2012",41,27,0,1882
"February 27, 2012",51,27,2,1883
"February 28, 2012",48,33,7,1884
"February 29, 2012",35,31,3,1885
"March 01, 2012",37,25,3,1886
"March 02, 2012",35,23,3,1887
"March 03, 2012",46,33,0,1888
"March 04, 2012",42,33,1,1889
"March 05, 2012",37,25,5,1890
"March 06, 2012",39,20,3,1891
"March 07, 2012",62,32,7,1892
"March 08, 2012",68,50,4,1893
"March 09, 2012",60,35,4,1894
"March 10, 2012",39,31,1,1895
"March 11, 2012",57,31,1,1896
"March 12, 2012",71,42,10,1897
"March 13, 2012",71,48,16,1898
"March 14, 2012",57,39,5,1899
"March 15, 2012",42,37,2,1900
"March 16, 2012",46,37,4,1901
"March 17, 2012",48,39,1,1902
"March 18, 2012",73,41,1,1903
"March 19, 2012",73,44,5,1904
"March 20, 2012",66,44,4,1905
"March 21, 2012",78,55,5,1906
"March 22, 2012",82,55,8,1907
"March 23, 2012",75,57,13,1908
"March 24, 2012",59,46,0,1909
"March 25, 2012",48,42,0,1910
"March 26, 2012",50,32,6,1911
"March 27, 2012",48,27,11,1912
"March 28, 2012",50,39,5,1913
"March 29, 2012",46,39,10,1914
"March 30, 2012",51,35,1,1915
"March 31, 2012",42,35,0,1916
"April 01, 2012",51,33,0,1917
"April 02, 2012",53,39,6,1918
"April 03, 2012",59,35,5,1919
"April 04, 2012",64,42,5,1920
"April 05, 2012",51,39,2,1921
"April 06, 2012",53,37,2,1922
"April 07, 2012",51,37,1,1923
"April 08, 2012",50,41,1,1924
"April 09, 2012",57,42,7,1925
"April 10, 2012",62,42,5,1926
"April 11, 2012",53,44,5,1927
"April 12, 2012",55,42,6,1928
"April 13, 2012",64,41,7,1929
"April 14, 2012",71,48,1,1930
"April 15, 2012",77,53,1,1931
"April 16, 2012",87,59,2,1932
"April 17, 2012",84,57,7,1933
"April 18, 2012",62,48,10,1934
"April 19, 2012",66,46,5,1935
"April 20, 2012",77,48,7,1936
"April 21, 2012",78,53,1,1937
"April 22, 2012",62,44,3,1938
"April 23, 2012",62,44,9,1939
"April 24, 2012",57,46,11,1940
"April 25, 2012",62,42,6,1941
"April 26, 2012",62,42,6,1942
"April 27, 2012",57,39,5,1943
"April 28, 2012",60,37,1,1944
"April 29, 2012",59,39,1,1945
"April 30, 2012",53,41,8,1946
"May 01, 2012",50,44,10,1947
"May 02, 2012",51,44,1,1948
"May 03, 2012",50,46,8,1949
"May 04, 2012",55,48,3,1950
"May 05, 2012",57,46,0,1951
"May 06, 2012",53,46,0,1952
"May 07, 2012",59,48,12,1953
"May 08, 2012",57,50,14,1954
"May 09, 2012",62,55,7,1955
"May 10, 2012",66,50,8,1956
"May 11, 2012",64,46,4,1957
"May 12, 2012",80,50,1,1958
"May 13, 2012",80,59,1,1959
"May 14, 2012",64,53,13,1960
"May 15, 2012",73,55,11,1961
"May 16, 2012",73,60,4,1962
"May 17, 2012",69,53,10,1963
"May 18, 2012",64,48,1,1964
"May 19, 2012",66,51,0,1965
"May 20, 2012",71,55,0,1966
"May 21, 2012",59,53,12,1967
"May 22, 2012",62,55,9,1968
"May 23, 2012",71,59,13,1969
"May 24, 2012",71,60,4,1970
"May 25, 2012",73,57,5,1971
"May 26, 2012",86,66,1,1972
"May 27, 2012",71,64,1,1973
"May 28, 2012",69,60,2,1974
"May 29, 2012",66,59,19,1975
"May 30, 2012",75,60,11,1976
"May 31, 2012",82,62,13,1977
"June 01, 2012",64,57,10,1978
"June 02, 2012",62,55,1,1979
"June 03, 2012",62,53,0,1980
"June 04, 2012",53,50,13,1981
"June 05, 2012",55,50,9,1982
"June 06, 2012",60,51,7,1983
"June 07, 2012",64,53,18,1984
"June 08, 2012",78,53,8,1985
"June 09, 2012",78,59,3,1986
"June 10, 2012",75,59,1,1987
"June 11, 2012",73,57,6,1988
"June 12, 2012",73,60,8,1989
"June 13, 2012",64,62,13,1990
"June 14, 2012",68,60,8,1991
"June 15, 2012",69,57,8,1992
"June 16, 2012",64,53,0,1993
"June 17, 2012",62,51,0,1994
"June 18, 2012",64,55,10,1995
"June 19, 2012",75,55,5,1996
"June 20, 2012",96,66,6,1997
"June 21, 2012",96,80,7,1998
"June 22, 2012",95,73,7,1999
"June 23, 2012",80,64,1,2000
"June 24, 2012",84,64,1,2001
"June 25, 2012",73,60,4,2002
"June 26, 2012",73,60,14,2003
"June 27, 2012",77,60,7,2004
"June 28, 2012",82,64,7,2005
"June 29, 2012",89,66,7,2006
"June 30, 2012",89,69,0,2007
"July 01, 2012",91,69,1,2008
"July 02, 2012",84,69,8,2009
"July 03, 2012",86,68,11,2010
"July 04, 2012",84,68,0,2011
"July 05, 2012",82,69,2,2012
"July 06, 2012",80,68,11,2013
"July 07, 2012",86,73,3,2014
"July 08, 2012",89,71,2,2015
"July 09, 2012",84,66,6,2016
"July 10, 2012",82,64,15,2017
"July 11, 2012",80,66,6,2018
"July 12, 2012",86,66,10,2019
"July 13, 2012",89,69,9,2020
"July 14, 2012",91,71,0,2021
"July 15, 2012",91,71,0,2022
"July 16, 2012",87,71,13,2023
"July 17, 2012",96,75,14,2024
"July 18, 2012",89,69,10,2025
"July 19, 2012",73,66,11,2026
"July 20, 2012",71,64,11,2027
"July 21, 2012",73,60,1,2028
"July 22, 2012",84,60,1,2029
"July 23, 2012",86,66,18,2030
"July 24, 2012",91,68,12,2031
"July 25, 2012",82,64,8,2032
"July 26, 2012",84,66,17,2033
"July 27, 2012",77,64,4,2034
"July 28, 2012",71,62,2,2035
"July 29, 2012",73,64,2,2036
"July 30, 2012",80,62,11,2037
"July 31, 2012",73,62,10,2038
"August 01, 2012",78,68,27,2039
"August 02, 2012",86,68,11,2040
"August 03, 2012",91,71,3,2041
"August 04, 2012",82,73,0,2042
"August 05, 2012",87,71,2,2043
"August 06, 2012",84,71,26,2044
"August 07, 2012",77,66,18,2045
"August 08, 2012",82,66,5,2046
"August 09, 2012",82,69,15,2047
"August 10, 2012",84,69,22,2048
"August 11, 2012",80,71,2,2049
"August 12, 2012",84,71,2,2050
"August 13, 2012",86,71,11,2051
"August 14, 2012",82,69,23,2052
"August 15, 2012",84,66,11,2053
"August 16, 2012",84,66,14,2054
"August 17, 2012",86,66,6,2055
"August 18, 2012",71,64,4,2056
"August 19, 2012",73,60,5,2057
"August 20, 2012",75,62,23,2058
"August 21, 2012",82,66,13,2059
"August 22, 2012",78,66,21,2060
"August 23, 2012",87,66,14,2061
"August 24, 2012",78,68,20,2062
"August 25, 2012",77,66,4,2063
"August 26, 2012",75,64,3,2064
"August 27, 2012",84,62,18,2065
"August 28, 2012",86,68,9,2066
"August 29, 2012",75,62,11,2067
"August 30, 2012",82,60,14,2068
"August 31, 2012",89,68,8,2069
"September 01, 2012",80,62,2,2070
"September 02, 2012",73,62,0,2071
"September 03, 2012",71,59,0,2072
"September 04, 2012",73,62,21,2073
"September 05, 2012",82,66,13,2074
"September 06, 2012",78,64,7,2075
"September 07, 2012",82,68,17,2076
"September 08, 2012",82,66,1,2077
"September 09, 2012",75,62,3,2078
"September 10, 2012",69,55,15,2079
"September 11, 2012",73,53,12,2080
"September 12, 2012",73,53,7,2081
"September 13, 2012",82,60,5,2082
"September 14, 2012",80,60,16,2083
"September 15, 2012",73,59,1,2084
"September 16, 2012",71,53,2,2085
"September 17, 2012",69,53,16,2086
"September 18, 2012",75,57,14,2087
"September 19, 2012",71,55,3,2088
"September 20, 2012",62,51,13,2089
"September 21, 2012",62,51,7,2090
"September 22, 2012",66,55,1,2091
"September 23, 2012",71,55,1,2092
"September 24, 2012",66,51,8,2093
"September 25, 2012",73,48,13,2094
"September 26, 2012",73,59,6,2095
"September 27, 2012",69,55,10,2096
"September 28, 2012",57,53,5,2097
"September 29, 2012",57,53,1,2098
"September 30, 2012",59,53,1,2099
"October 01, 2012",68,50,11,2100
"October 02, 2012",71,55,10,2101
"October 03, 2012",64,59,10,2102
"October 04, 2012",62,59,5,2103
"October 05, 2012",75,57,5,2104
"October 06, 2012",78,53,4,2105
"October 07, 2012",57,48,1,2106
"October 08, 2012",55,46,2,2107
"October 09, 2012",57,53,4,2108
"October 10, 2012",62,51,8,2109
"October 11, 2012",59,44,6,2110
"October 12, 2012",53,39,15,2111
"October 13, 2012",53,35,2,2112
"October 14, 2012",66,46,0,2113
"October 15, 2012",73,60,8,2114
"October 16, 2012",62,44,8,2115
"October 17, 2012",55,42,10,2116
"October 18, 2012",60,44,2,2117
"October 19, 2012",68,53,4,2118
"October 20, 2012",73,57,1,2119
"October 21, 2012",64,48,0,2120
"October 22, 2012",68,51,8,2121
"October 23, 2012",66,51,9,2122
"October 24, 2012",55,46,9,2123
"October 25, 2012",59,44,10,2124
"October 26, 2012",66,46,0,2125
"October 27, 2012",60,48,0,2126
"October 28, 2012",55,51,0,2127
"October 29, 2012",60,53,1,2128
"October 30, 2012",62,51,8,2129
"October 31, 2012",55,46,8,2130
"November 01, 2012",57,44,6,2131
"November 02, 2012",51,44,6,2132
"November 03, 2012",53,42,1,2133
"November 04, 2012",53,37,1,2134
"November 05, 2012",44,33,8,2135
"November 06, 2012",41,31,4,2136
"November 07, 2012",44,32,7,2137
"November 08, 2012",39,32,8,2138
"November 09, 2012",53,37,6,2139
"November 10, 2012",55,39,3,2140
"November 11, 2012",60,39,1,2141
"November 12, 2012",66,46,2,2142
"November 13, 2012",62,39,8,2143
"November 14, 2012",44,35,6,2144
"November 15, 2012",41,33,12,2145
"November 16, 2012",44,35,4,2146
"November 17, 2012",46,35,1,2147
"November 18, 2012",46,33,5,2148
"November 19, 2012",48,33,8,2149
"November 20, 2012",48,33,13,2150
"November 21, 2012",48,37,6,2151
"November 22, 2012",50,39,0,2152
"November 23, 2012",48,35,3,2153
"November 24, 2012",48,33,0,2154
"November 25, 2012",39,31,1,2155
"November 26, 2012",46,33,7,2156
"November 27, 2012",39,33,5,2157
"November 28, 2012",35,32,9,2158
"November 29, 2012",42,32,5,2159
"November 30, 2012",37,31,4,2160
"December 01, 2012",32,29,1,2161
"December 02, 2012",51,32,0,2162
"December 03, 2012",59,41,6,2163
"December 04, 2012",57,39,8,2164
"December 05, 2012",57,33,6,2165
"December 06, 2012",41,31,2,2166
"December 07, 2012",44,31,6,2167
"December 08, 2012",46,42,0,2168
"December 09, 2012",48,41,2,2169
"December 10, 2012",60,42,9,2170
"December 11, 2012",55,33,2,2171
"December 12, 2012",39,31,2,2172
"December 13, 2012",42,29,10,2173
"December 14, 2012",48,31,5,2174
"December 15, 2012",39,33,0,2175
"December 16, 2012",39,33,0,2176
"December 17, 2012",44,37,0,2177
"December 18, 2012",50,41,3,2178
"December 19, 2012",44,37,4,2179
"December 20, 2012",42,33,2,2180
"December 21, 2012",51,37,2,2181
"December 22, 2012",37,31,0,2182
"December 23, 2012",37,29,0,2183
"December 24, 2012",39,31,2,2184
"December 25, 2012",35,29,0,2185
"December 26, 2012",39,23,2,2186
"December 27, 2012",46,31,2,2187
"December 28, 2012",37,29,1,2188
"December 29, 2012",37,29,1,2189
"December 30, 2012",31,22,0,2190
"December 31, 2012",33,22,3,2191
"January 01, 2013",37,20,0,2192
"January 02, 2013",31,13,5,2193
"January 03, 2013",25,7,3,2194
"January 04, 2013",37,22,3,2195
"January 05, 2013",42,27,0,2196
"January 06, 2013",42,29,0,2197
"January 07, 2013",39,29,2,2198
"January 08, 2013",46,29,8,2199
"January 09, 2013",46,29,6,2200
"January 10, 2013",46,35,1,2201
"January 11, 2013",39,31,5,2202
"January 12, 2013",44,37,1,2203
"January 13, 2013",51,39,1,2204
"January 14, 2013",60,42,12,2205
"January 15, 2013",42,35,4,2206
"January 16, 2013",35,31,6,2207
"January 17, 2013",42,31,2,2208
"January 18, 2013",31,20,4,2209
"January 19, 2013",48,25,2,2210
"January 20, 2013",53,29,3,2211
"January 21, 2013",31,23,0,2212
"January 22, 2013",25,16,8,2213
"January 23, 2013",18,9,3,2214
"January 24, 2013",22,4,2,2215
"January 25, 2013",25,11,3,2216
"January 26, 2013",25,13,1,2217
"January 27, 2013",32,14,1,2218
"January 28, 2013",31,22,5,2219
"January 29, 2013",33,27,4,2220
"January 30, 2013",60,33,5,2221
"January 31, 2013",60,32,8,2222
"February 01, 2013",33,23,3,2223
"February 02, 2013",31,20,1,2224
"February 03, 2013",27,23,0,2225
"February 04, 2013",31,22,3,2226
"February 05, 2013",27,22,2,2227
"February 06, 2013",39,27,3,2228
"February 07, 2013",31,18,5,2229
"February 08, 2013",33,20,2,2230
"February 09, 2013",20,16,0,2231
"February 10, 2013",35,16,2,2232
"February 11, 2013",44,20,1,2233
"February 12, 2013",44,35,0,2234
"February 13, 2013",42,31,1,2235
"February 14, 2013",42,32,1,2236
"February 15, 2013",46,31,4,2237
"February 16, 2013",37,32,1,2238
"February 17, 2013",32,18,0,2239
"February 18, 2013",33,16,1,2240
"February 19, 2013",44,27,5,2241
"February 20, 2013",42,27,3,2242
"February 21, 2013",33,25,0,2243
"February 22, 2013",37,27,8,2244
"February 23, 2013",37,32,1,2245
"February 24, 2013",37,29,0,2246
"February 25, 2013",41,29,8,2247
"February 26, 2013",41,29,1,2248
"February 27, 2013",39,37,1,2249
"February 28, 2013",44,33,2,2250
"March 01, 2013",41,33,5,2251
"March 02, 2013",42,33,3,2252
"March 03, 2013",42,33,0,2253
"March 04, 2013",41,31,7,2254
"March 05, 2013",42,32,6,2255
"March 06, 2013",41,35,9,2256
"March 07, 2013",37,31,8,2257
"March 08, 2013",42,29,3,2258
"March 09, 2013",37,31,0,2259
"March 10, 2013",37,29,0,2260
"March 11, 2013",50,35,5,2261
"March 12, 2013",53,39,3,2262
"March 13, 2013",51,39,9,2263
"March 14, 2013",39,23,6,2264
"March 15, 2013",41,22,3,2265
"March 16, 2013",39,31,0,2266
"March 17, 2013",37,25,0,2267
"March 18, 2013",33,22,5,2268
"March 19, 2013",35,29,3,2269
"March 20, 2013",39,27,2,2270
"March 21, 2013",35,31,2,2271
"March 22, 2013",39,29,1,2272
"March 23, 2013",44,31,1,2273
"March 24, 2013",48,33,0,2274
"March 25, 2013",44,33,3,2275
"March 26, 2013",50,33,0,2276
"March 27, 2013",55,35,9,2277
"March 28, 2013",48,37,6,2278
"March 29, 2013",55,39,6,2279
