Unique Key,Latitude,Longitude,Date,DateId,zipcode,borough,complaintType,description
CASE_ENQUIRY_ID,LATITUDE,LONGITUDE,OPEN_DT,0,LOCATION_ZIPCODE,neighborhood,CASE_TITLE,QUEUE
101000295628,42.348748,-71.067493,07/01/2011,1,02116,Back Bay,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000295708,42.348359,-71.154216,07/01/2011,2,02135,Allston / Brighton,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000295769,42.29211,-71.08961,07/01/2011,2,02124,Greater Mattapan,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000295953,42.3594,-71.0587,07/01/2011,2,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000295962,42.3594,-71.0587,07/01/2011,2,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296282,42.35246,-71.14197,07/03/2011,2,02134,Allston / Brighton,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296584,42.38336,-71.077829,07/05/2011,3,02129,Charlestown,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296595,42.33822,-71.07626,07/05/2011,4,02118,South End,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296619,42.3594,-71.0587,07/05/2011,4,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296649,42.348955,-71.153641,07/05/2011,4,02135,Allston / Brighton,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296675,42.3594,-71.0587,07/05/2011,4,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296694,42.3594,-71.0587,07/05/2011,4,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296696,42.29868,-71.07291,07/05/2011,4,02124,Dorchester,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296788,42.361787,-71.056757,07/05/2011,4,02109,Downtown / Financial District,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296932,42.3594,-71.0587,07/05/2011,4,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296964,42.35433,-71.07417,07/06/2011,4,02116,Back Bay,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000296980,42.352387,-71.137011,07/06/2011,5,02134,Allston / Brighton,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297016,42.31501,-71.05364,07/06/2011,5,02125,Dorchester,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297022,42.3076,-71.06596,07/06/2011,5,02125,Dorchester,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297067,42.31908,-71.05489,07/06/2011,5,02125,Dorchester,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297532,42.3594,-71.0587,07/06/2011,5,, ,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297534,42.348882,-71.069742,07/06/2011,5,02116,Back Bay,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297538,42.351473,-71.165378,07/06/2011,5,02135,Allston / Brighton,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297541,42.36051,-71.06466,07/06/2011,5,02114,Beacon Hill,Rodent Activity,ISD_Environmental Services (INTERNAL)
101000297548,42.349259,-71.152778,07/06/2011,5,02135,Allston / Brighton,Rodent Activity,ISD_Environmental Services (INTERNAL)
