Unique Key,Latitude,Longitude,Date,DateId,zipcode,borough,complaintType,description
26018201,40.715169416562055,-74.0005266618292,07/30/2013,1304,10013,MANHATTAN,Maintenance or Facility,Rodent Sighting
26005203,40.776829596742566,-73.81480068959256,07/30/2013,1303,11357,QUEENS,Food Establishment,Rodents/Insects/Garbage
26018069,0,0,07/30/2013,1303,10012,MANHATTAN,Maintenance or Facility,Rodent Sighting
26035553,40.77431996567302,-73.91825156957391,07/30/2013,1303,11102,QUEENS,Food Establishment,Rodents/Insects/Garbage
26018266,40.75978506574562,-73.82923633167887,07/30/2013,1303,11354,QUEENS,Food Establishment,Rodents/Insects/Garbage
26035557,40.75084017896,-74.00385463026444,07/30/2013,1303,10001,MANHATTAN,Food Establishment,Rodents/Insects/Garbage
26018067,40.76837801076029,-73.89504194443822,07/30/2013,1303,11370,QUEENS,Food Establishment,Rodents/Insects/Garbage
26035296,40.71728557163657,-73.83510983497314,07/30/2013,1303,11375,QUEENS,Food Establishment,Rodents/Insects/Garbage
26035223,40.76713287318393,-73.99371844808641,07/30/2013,1303,10019,MANHATTAN,Maintenance or Facility,Rodent Sighting
26013706,40.75371919349219,-73.97356143499889,07/30/2013,1303,10017,MANHATTAN,Food Establishment,Rodents/Insects/Garbage
26035298,0,0,07/30/2013,1303,10128,MANHATTAN,Maintenance or Facility,Rodent Sighting
26026513,0,0,07/30/2013,1303,10013,MANHATTAN,Maintenance or Facility,Rodent Sighting
26030953,0,0,07/30/2013,1303,,Unspecified,School Maintenance,Rodents/Mice
26035352,40.587175649544406,-74.16212425946397,07/30/2013,1303,10314,STATEN ISLAND,Rodent,Condition Attracting Rodents
26031131,40.85862233529875,-73.90863673892324,07/30/2013,1303,10453,BRONX,Rodent,Condition Attracting Rodents
26035483,40.702688702482035,-73.91255802993442,07/30/2013,1303,11385,QUEENS,Rodent,Condition Attracting Rodents
26027021,40.72177657141042,-73.84337824941628,07/30/2013,1303,11375,QUEENS,Rodent,Condition Attracting Rodents
26031223,40.715059194323594,-73.99001508537253,07/30/2013,1303,10002,MANHATTAN,Rodent,Condition Attracting Rodents
26030996,40.57937547207139,-73.96052667250157,07/30/2013,1303,11235,BROOKLYN,Rodent,Condition Attracting Rodents
26030865,40.68262778783501,-73.75647976714939,07/30/2013,1303,11413,QUEENS,Rodent,Condition Attracting Rodents
26022291,40.6385706801265,-73.94900486982377,07/30/2013,1303,11210,BROOKLYN,Rodent,Condition Attracting Rodents
26031313,40.74611650396615,-74.00252626392306,07/30/2013,1303,10011,MANHATTAN,Rodent,Signs of Rodents
26031094,40.693945751717386,-73.74439031824004,07/30/2013,1303,11411,QUEENS,Rodent,Condition Attracting Rodents
26031142,40.75903700920136,-73.89738127885347,07/30/2013,1303,11370,QUEENS,Rodent,Condition Attracting Rodents
26026794,40.69147108600364,-73.9165970287018,07/30/2013,1303,11221,BROOKLYN,Rodent,Condition Attracting Rodents
26035233,40.68197531351195,-73.92213970931165,07/30/2013,1303,11233,BROOKLYN,Rodent,Signs of Rodents
26035328,40.71365807463528,-73.98007387669057,07/30/2013,1303,10002,MANHATTAN,Rodent,Condition Attracting Rodents
26026655,40.68946910867395,-73.91152965969954,07/30/2013,1303,11207,BROOKLYN,Rodent,Condition Attracting Rodents
26026962,40.63455123940195,-73.91476222379724,07/30/2013,1303,11236,BROOKLYN,Rodent,Condition Attracting Rodents
26026525,40.64636316232828,-73.94908539935238,07/30/2013,1303,11226,BROOKLYN,Rodent,Condition Attracting Rodents
26031232,40.704378927145896,-73.88673911662669,07/30/2013,1303,11385,QUEENS,Rodent,Condition Attracting Rodents
26031092,40.67430837813445,-73.95733408082083,07/30/2013,1303,11238,BROOKLYN,Rodent,Condition Attracting Rodents
26030956,40.52364064133826,-74.22029103887714,07/30/2013,1303,10309,STATEN ISLAND,Rodent,Condition Attracting Rodents
26022246,40.68605229158134,-73.77769047239698,07/30/2013,1303,11434,QUEENS,Rodent,Condition Attracting Rodents
26013546,40.709816921419666,-74.00696508446121,07/30/2013,1303,10038,MANHATTAN,Rodent,Condition Attracting Rodents
26022478,40.70429571249818,-73.75163977230042,07/30/2013,1303,11412,QUEENS,Rodent,Condition Attracting Rodents
26022181,40.69673811577188,-73.76144097018195,07/30/2013,1303,11412,QUEENS,Rodent,Condition Attracting Rodents
26031115,40.59045999006502,-73.79121911595637,07/30/2013,1303,11692,QUEENS,Rodent,Condition Attracting Rodents
26030993,40.65796240785294,-73.92812905076259,07/30/2013,1303,11203,BROOKLYN,Rodent,Condition Attracting Rodents
26009133,40.588619963582914,-73.92270941117468,07/30/2013,1303,11229,BROOKLYN,Rodent,Condition Attracting Rodents
26026638,40.81582491908029,-73.91705173841257,07/30/2013,1303,10455,BRONX,Rodent,Signs of Rodents
26026607,40.635206265404044,-74.09012061303694,07/30/2013,1303,10301,STATEN ISLAND,Rodent,Condition Attracting Rodents
26026508,40.58867213656182,-73.92274175475994,07/30/2013,1303,11229,BROOKLYN,Rodent,Condition Attracting Rodents
26017799,40.85619720077683,-73.90668439661702,07/30/2013,1303,10453,BRONX,Rodent,Condition Attracting Rodents
26026790,40.646013928420786,-73.95406935407264,07/30/2013,1303,11226,BROOKLYN,Rodent,Condition Attracting Rodents
26005395,40.85513625839394,-73.93687724077262,07/30/2013,1303,10040,MANHATTAN,Rodent,Condition Attracting Rodents
26022366,40.74448884364011,-73.99655353842132,07/30/2013,1303,10011,MANHATTAN,Rodent,Condition Attracting Rodents
26013556,40.83722808926937,-73.94422320443937,07/30/2013,1303,10032,MANHATTAN,Rodent,Condition Attracting Rodents
26013917,40.736580156300924,-73.71177958717418,07/30/2013,1303,11004,QUEENS,Rodent,Signs of Rodents
26018182,40.676177690940754,-73.81220326947984,07/30/2013,1303,11420,QUEENS,Rodent,Condition Attracting Rodents
26009567,40.77412988340173,-73.95085432578557,07/30/2013,1303,10028,MANHATTAN,Rodent,Condition Attracting Rodents
26009667,40.661936837510545,-73.98920123516156,07/30/2013,1303,11215,BROOKLYN,Rodent,Condition Attracting Rodents
26013767,40.796603568220654,-73.93896251029072,07/30/2013,1303,10029,MANHATTAN,Rodent,Condition Attracting Rodents
26013722,40.62819942710471,-74.154143331498,07/30/2013,1303,10303,STATEN ISLAND,Rodent,Condition Attracting Rodents
26005032,40.856546194572836,-73.90720084375513,07/30/2013,1303,10453,BRONX,Rodent,Signs of Rodents
26013683,40.68186227749187,-73.76995625735097,07/30/2013,1303,11434,QUEENS,Rodent,Signs of Rodents
26009418,40.86546921715945,-73.89147212650845,07/30/2013,1303,10458,BRONX,Rodent,Condition Attracting Rodents
26009136,40.752811821132646,-73.87254434894429,07/30/2013,1303,11372,QUEENS,Rodent,Condition Attracting Rodents
26005247,40.87038662803776,-73.88197651448843,07/30/2013,1303,10458,BRONX,Rodent,Condition Attracting Rodents
26026521,40.72732217077339,-73.85474825387313,07/29/2013,1303,11374,QUEENS,Food Establishment,Rodents/Insects/Garbage
