Unique Key,Latitude,Longitude,Date,DateId,zipcode,borough,complaintType,description
10-00000078,38.931196898232,-77.02152332653160,02/01/2010,1097,20010,1,DOH,Rat Abatement
10-00000137,38.90837014479940,-77.01043769772060,02/01/2010,1097,20001,5,DOH,Rat Abatement
10-00000374,38.91600279518460,-77.02023594180490,03/01/2010,1098,20001,1,DOH,Rat Abatement
10-00000375,38.89708252606170,-76.97410769995590,03/01/2010,1098,20002,7,DOH,Rat Abatement
10-00000418,38.92413521036980,-77.05227614084420,03/01/2010,1098,20008,3,DOH,Rat Abatement
10-00000531,38.90417010581810,-76.99923840305940,04/01/2010,1099,20002,6,DOH,Rat Abatement
10-00000679,38.85873088424070,-76.98688654319220,04/01/2010,1099,20020,8,DOH,Rat Abatement
10-00000819,38.92364401317350,-76.97304841166790,04/01/2010,1099,20018,5,DOH,Rat Abatement
10-00000822,38.92364401317350,-76.97304841166790,04/01/2010,1099,20018,5,DOH,Rat Abatement
10-00000937,38.90453555185930,-76.997570624742,04/01/2010,1099,20002,6,DOH,Rat Abatement
10-00001097,38.86691386015170,-76.94608528069770,04/01/2010,1099,20020,7,DOH,Rat Abatement
10-00001108,38.92106947157170,-77.03868816928010,04/01/2010,1099,20009,1,DOH,Rat Abatement
10-00001259,38.90475372946150,-77.01964373585590,04/01/2010,1099,20001,2,DOH,Rat Abatement
10-00001664,38.91662294046070,-77.01674641221590,04/01/2010,1099,20001,1,DOH,Rat Abatement
10-00001723,38.94548798385650,-76.979288037406,04/01/2010,1099,20017,5,DOH,Rat Abatement
10-00001761,38.89658134520170,-76.98387167825340,04/01/2010,1099,20002,6,DOH,Rat Abatement
10-00001896,38.86620726348780,-76.98794111284850,04/01/2010,1099,20020,8,DOH,Rat Abatement
10-00001985,38.86736586721980,-76.94620466240270,05/01/2010,1100,20020,7,DOH,Rat Abatement
10-00002111,38.95205461627390,-77.01438315498440,05/01/2010,1100,20011,4,DOH,Rat Abatement
10-00002288,38.91280379169580,-77.02472814694580,05/01/2010,1100,20001,2,DOH,Rat Abatement
10-00002755,38.93574053023390,-77.05925451492560,05/01/2010,1100,20008,3,DOH,Rat Abatement
10-00003063,38.91639136479850,-77.00029495894890,05/01/2010,1100,20002,5,DOH,Rat Abatement
10-00003637,38.93157919465580,-77.06573035004170,06/01/2010,1101,20008,3,DOH,Rat Abatement
10-00004109,38.82942174592350,-76.99970816433290,06/01/2010,1101,20032,8,DOH,Rat Abatement
10-00004631,38.93334869019350,-77.02523559911970,06/01/2010,1101,20010,1,DOH,Rat Abatement
10-00005338,38.91070291722280,-77.02990642950830,07/01/2010,1102,20005,2,DOH,Rat Abatement
10-00005689,38.93596432502580,-77.02220481083430,07/01/2010,1102,20010,1,DOH,Rat Abatement
10-00006083,38.93900690450230,-77.01952825486340,07/01/2010,1102,20011,4,DOH,Rat Abatement
10-00006633,38.86900026283020,-76.98582129665650,08/01/2010,1103,20020,8,DOH,Rat Abatement
10-00006701,38.91477316511860,-77.019121854091,08/01/2010,1103,20001,2,DOH,Rat Abatement
10-00007093,38.89183553405360,-76.984366792936,08/01/2010,1103,20002,6,DOH,Rat Abatement
10-00007113,38.91727869347890,-77.01711544244190,08/01/2010,1103,20001,1,DOH,Rat Abatement
10-00007121,38.92210359262070,-77.03025428069690,08/01/2010,1103,20009,1,DOH,Rat Abatement
10-00007517,38.92992352343550,-77.030973338603,08/01/2010,1103,20010,1,DOH,Rat Abatement
10-00007985,38.92304396677810,-77.00332234561110,10/01/2010,1105,20002,5,DOH,Rat Abatement
10-00009812,38.85390065889340,-76.97359617403140,12/01/2010,1107,20020,8,DOH,Rat Abatement
10-00010069,38.92626607864120,-77.02309797674490,12/01/2010,1107,20001,1,DOH,Rat Abatement
10-00010164,38.93240098906790,-77.037992739026,12/01/2010,1107,20010,1,DOH,Rat Abatement
10-00010328,38.91795768673040,-77.03987418414360,12/01/2010,1107,20009,1,DOH,Rat Abatement
10-00010801,38.92679263552280,-76.98963064602640,12/01/2010,1107,20017,5,DOH,Rat Abatement
10-00011572,38.91280180951220,-77.00470296329770,13/01/2010,1108,20002,5,DOH,Rat Abatement
10-00012516,38.92747204290510,-77.039766254010,13/01/2010,1108,20009,1,DOH,Rat Abatement
10-00012545,38.92617191519470,-77.02412121825670,14/01/2010,1109,20001,1,DOH,Rat Abatement
10-00013248,38.92290417889510,-77.04085808376710,14/01/2010,1109,20009,1,DOH,Rat Abatement
10-00013590,38.91071688077150,-77.02270092371740,14/01/2010,1109,20001,2,DOH,Rat Abatement
10-00013912,38.82556993870070,-77.01812876597960,14/01/2010,1109,20332,8,DOH,Rat Abatement
10-00014245,38.92081481037350,-77.04329869428460,15/01/2010,1110,20009,1,DOH,Rat Abatement
10-00014246,38.92081481037350,-77.04329869428460,15/01/2010,1110,20009,1,DOH,Rat Abatement
10-00014469,38.930468712558,-77.02846904318810,15/01/2010,1110,20010,1,DOH,Rat Abatement
10-00014617,38.88826787488460,-76.97876890623720,15/01/2010,1110,20003,6,DOH,Rat Abatement
10-00015228,38.91642162204610,-77.03557750779280,15/01/2010,1110,20009,2,DOH,Rat Abatement
10-00015478,38.91130164095270,-77.03083311768090,16/01/2010,1111,20009,2,DOH,Rat Abatement
10-00016158,38.91629920529350,-77.02830345435750,18/01/2010,1113,20009,1,DOH,Rat Abatement
10-00016244,38.93966256093930,-77.01986778257590,18/01/2010,1113,20011,4,DOH,Rat Abatement
10-00016644,38.86742300655720,-76.98530273244170,19/01/2010,1114,20020,8,DOH,Rat Abatement
10-00016696,38.94117919718440,-76.996054042628,19/01/2010,1114,20017,5,DOH,Rat Abatement
10-00016753,38.87247408817880,-77.00973745030180,19/01/2010,1114,20024,6,DOH,Rat Abatement
10-00017017,38.87502652156110,-76.93407166716270,19/01/2010,1114,20019,7,DOH,Rat Abatement
10-00017020,38.918994245301,-77.01010611446080,19/01/2010,1114,20001,5,DOH,Rat Abatement
10-00017135,38.90772675053680,-76.98753782645760,19/01/2010,1114,20002,5,DOH,Rat Abatement
10-00017280,38.916548467458,-77.00083933186820,19/01/2010,1114,20002,5,DOH,Rat Abatement
10-00017344,38.87865699141930,-77.014947593932,19/01/2010,1114,20024,6,DOH,Rat Abatement
10-00017483,38.93167586686430,-77.03584957803710,19/01/2010,1114,20010,1,DOH,Rat Abatement
10-00017592,38.93300665512880,-77.02833557557420,19/01/2010,1114,20010,1,DOH,Rat Abatement
10-00018804,38.89415775610030,-76.97746987678420,20/01/2010,1115,20002,6,DOH,Rat Abatement
10-00018853,38.904962927560,-77.06190563480750,20/01/2010,1115,20007,2,DOH,Rat Abatement
10-00018905,38.86387860490260,-76.99113930642820,20/01/2010,1115,20020,8,DOH,Rat Abatement
10-00019012,38.92221353095810,-77.001175319408,20/01/2010,1115,20002,5,DOH,Rat Abatement
10-00019177,38.92279701449720,-77.03074790866080,20/01/2010,1115,20009,1,DOH,Rat Abatement
10-00019178,38.92279701449720,-77.03074790866080,20/01/2010,1115,20009,1,DOH,Rat Abatement
10-00019704,38.92620244047890,-77.02374434879280,20/01/2010,1115,20001,1,DOH,Rat Abatement
10-00020177,38.94098713506240,-77.03105681267130,21/01/2010,1116,20011,4,DOH,Rat Abatement
10-00020346,38.86901131917870,-76.98637648161750,21/01/2010,1116,20020,8,DOH,Rat Abatement
10-00020514,38.95834516188910,-76.99999053914370,21/01/2010,1116,20011,4,DOH,Rat Abatement
10-00021115,38.90700851533570,-76.98936315949250,21/01/2010,1116,20002,5,DOH,Rat Abatement
10-00021373,38.93389238836480,-77.02703919669220,21/01/2010,1116,20010,1,DOH,Rat Abatement
10-00021377,38.89136216689260,-76.98387182072140,21/01/2010,1116,20002,6,DOH,Rat Abatement
10-00021390,38.92451138845650,-77.02591494469780,21/01/2010,1116,20001,1,DOH,Rat Abatement
10-00021606,38.93924681072130,-77.02245255695990,22/01/2010,1117,20011,4,DOH,Rat Abatement
10-00021676,38.87231574593440,-76.96183654763530,22/01/2010,1117,20020,7,DOH,Rat Abatement
10-00021831,38.914634619555,-77.04686757089720,22/01/2010,1117,20008,2,DOH,Rat Abatement
10-00021911,38.86899974660860,-76.98459085103120,22/01/2010,1117,20020,8,DOH,Rat Abatement
10-00022249,38.93724450194740,-77.02119273611460,22/01/2010,1117,20010,4,DOH,Rat Abatement
10-00022250,38.93724450194740,-77.02119273611460,22/01/2010,1117,20010,4,DOH,Rat Abatement
10-00023136,38.95083757584030,-77.01781972269960,23/01/2010,1118,20011,4,DOH,Rat Abatement
10-00023728,38.95831435363130,-76.99995142660030,23/01/2010,1118,20011,4,DOH,Rat Abatement
10-00023782,38.97854807855240,-77.02617684087080,23/01/2010,1118,20012,4,DOH,Rat Abatement
10-00023817,38.91840325427660,-77.07172387052670,23/01/2010,1118,20007,3,DOH,Rat Abatement
10-00023989,38.93956846095520,-77.02727942336820,25/01/2010,1120,20011,4,DOH,Rat Abatement
10-00024249,38.86962927738250,-76.975717092648,25/01/2010,1120,20020,8,DOH,Rat Abatement
10-00024491,38.90661485379580,-77.06856556486990,25/01/2010,1120,20007,2,DOH,Rat Abatement
10-00024639,38.84183232186790,-76.99184284641980,25/01/2010,1120,20032,8,DOH,Rat Abatement
10-00024738,38.90322837924920,-77.05820560173380,25/01/2010,1120,20007,2,DOH,Rat Abatement
10-00024814,38.87784690635620,-77.01463395473760,25/01/2010,1120,20024,6,DOH,Rat Abatement
10-00024894,38.88377015495520,-76.92302231856640,25/01/2010,1120,20019,7,DOH,Rat Abatement
10-00024912,38.90761551498230,-77.06823436400150,25/01/2010,1120,20007,2,DOH,Rat Abatement
10-00025099,38.89357568907920,-76.97682373302060,25/01/2010,1120,20002,7,DOH,Rat Abatement
10-00025381,38.92305590486920,-76.99983359439370,25/01/2010,1120,20017,5,DOH,Rat Abatement
10-00025731,38.92280703486090,-77.03100887943630,25/01/2010,1120,20009,1,DOH,Rat Abatement
10-00026501,38.91536476896150,-77.00804414581070,26/01/2010,1121,20002,5,DOH,Rat Abatement
10-00026911,38.91990624342040,-77.02898535450760,26/01/2010,1121,20009,1,DOH,Rat Abatement
