Date,Max TemperatureF,Min TemperatureF,Incident Reports,dateId
"January 02, 2010",29,18,2,1097
"January 03, 2010",27,14,3,1098
"January 04, 2010",32,22,12,1099
"January 05, 2010",35,27,5,1100
"January 06, 2010",37,29,3,1101
"January 07, 2010",37,29,3,1102
"January 08, 2010",32,22,6,1103
"January 09, 2010",35,22,0,1104
"January 10, 2010",31,20,1,1105
"January 11, 2010",37,13,0,1106
"January 12, 2010",33,27,5,1107
"January 13, 2010",44,23,2,1108
"January 14, 2010",53,20,4,1109
"January 15, 2010",55,22,5,1110
"January 16, 2010",51,27,1,1111
"January 17, 2010",44,35,0,1112
"January 18, 2010",55,31,2,1113
"January 19, 2010",60,29,10,1114
"January 20, 2010",42,33,7,1115
"January 21, 2010",42,29,7,1116
"January 22, 2010",39,33,6,1117
"January 23, 2010",46,29,4,1118
"January 24, 2010",57,33,0,1119
"January 25, 2010",64,44,11,1120
"January 26, 2010",44,33,5,1121
"January 27, 2010",44,27,8,1122
"January 28, 2010",51,25,5,1123
"January 29, 2010",27,18,5,1124
"January 30, 2010",22,18,0,1125
"January 31, 2010",33,11,2,1126
"February 01, 2010",37,7,8,1127
"February 02, 2010",39,16,0,1128
"February 03, 2010",39,27,7,1129
"February 04, 2010",39,27,5,1130
"February 05, 2010",35,31,0,1131
"February 06, 2010",32,11,1,1132
"February 07, 2010",31,7,0,1133
"February 08, 2010",32,13,1,1134
"February 09, 2010",35,11,0,1135
"February 10, 2010",31,20,0,1136
"February 11, 2010",37,29,2,1137
"February 12, 2010",37,23,1,1138
"February 13, 2010",32,27,0,1139
"February 14, 2010",37,20,0,1140
"February 15, 2010",37,9,1,1141
"February 16, 2010",35,20,4,1142
"February 17, 2010",35,22,0,1143
"February 18, 2010",42,32,5,1144
"February 19, 2010",42,35,1,1145
"February 20, 2010",42,29,1,1146
"February 21, 2010",50,23,0,1147
"February 22, 2010",44,31,4,1148
"February 23, 2010",44,35,4,1149
"February 24, 2010",44,31,6,1150
"February 25, 2010",39,31,4,1151
"February 26, 2010",37,29,4,1152
"February 27, 2010",44,31,2,1153
